#{"t_start": 1695760609.580446, "env_id": null}
r,l,t
8.823529,65,3.07006
6.862745,52,4.029409
6.862745,58,5.298144
6.27451,45,6.264563
5.294118,57,7.524986
9.215687,67,9.064894
6.666667,49,10.155361
7.058824,54,11.398347
9.411765,69,12.93663
3.921569,40,13.890215
6.862745,53,15.070075
9.019608,56,16.302318
6.27451,59,17.609438
8.431373,65,19.116769
6.078432,58,20.39795
8.039216,56,21.650124
9.607843,68,23.172173
7.843137,64,54.637137
9.803922,65,55.755224
7.450981,62,56.869931
9.215687,59,57.942481
7.058824,62,59.1744
8.823529,59,60.338865
9.411765,65,61.759205
9.803922,70,63.475766
6.666667,57,64.802526
8.235294,60,66.288803
8.039216,67,67.773988
9.607843,60,69.10687
9.803922,65,70.632454
8.627451,60,71.979028
9.607843,63,73.531218
9.215687,66,74.999318
8.431373,56,105.933697
8.039216,56,106.887888
7.843137,54,107.89615
6.862745,60,109.000322
8.039216,65,110.241536
9.607843,63,111.652258
8.823529,68,113.222272
7.843137,54,114.592363
9.607843,70,116.244499
9.215687,68,117.860427
5.09804,52,119.080662
4.509804,48,120.166735
6.470589,61,121.516952
9.803922,66,123.043976
9.019608,60,124.376558
7.647059,53,125.629793
9.607843,69,127.157145
8.627451,62,157.93609
8.431373,61,158.996417
9.215687,71,160.316822
8.431373,59,161.457322
7.647059,63,162.816427
7.647059,54,164.055607
8.823529,61,165.456012
8.235294,55,166.748044
8.431373,60,168.156805
8.235294,60,169.553659
9.215687,61,170.921279
9.411765,67,172.420304
8.431373,56,173.706007
8.235294,51,174.81715
7.647059,53,176.00663
7.254902,61,177.402289
7.647059,53,208.610126
9.411765,69,209.779721
5.882353,50,210.685935
9.019608,59,211.763632
8.039216,54,212.76245
7.058824,60,214.147123
8.823529,58,215.466662
5.490196,46,216.536507
9.803922,65,218.031619
8.235294,64,219.538246
8.627451,59,220.870507
6.666667,59,222.264085
8.431373,66,223.732519
5.882353,55,224.981313
8.823529,67,226.462198
7.058824,51,227.674864
7.843137,63,229.05244
8.039216,67,260.215034
8.627451,63,261.343906
8.235294,58,262.422467
9.803922,65,263.892131
9.411765,60,265.194528
7.254902,64,266.572128
8.627451,68,268.088562
6.470589,47,269.14249
9.215687,60,270.54491
8.235294,63,271.97685
8.823529,63,273.444571
9.411765,66,274.997164
8.823529,69,276.662231
7.450981,57,278.033595
9.215687,70,279.756005
9.803922,67,281.282125
7.450981,62,312.989033
6.862745,50,313.941165
9.607843,66,315.23153
7.058824,59,316.449392
8.235294,66,317.875821
9.019608,69,319.319037
6.27451,57,320.715173
7.450981,52,321.998561
9.215687,62,323.600129
9.019608,71,325.262398
6.27451,45,326.356089
9.411765,61,327.703041
8.431373,59,329.027202
7.647059,51,330.175932
8.039216,59,331.555197
6.862745,60,332.926369
8.823529,58,334.30362
7.450981,61,365.856518
9.215687,68,367.043783
9.019608,69,368.283843
6.078432,56,369.320421
5.686275,50,370.28362
9.019608,62,371.538464
7.647059,59,372.747329
9.215687,68,374.298791
7.254902,57,375.648737
5.09804,55,376.967794
6.27451,51,378.207164
8.431373,69,379.764064
6.666667,52,380.959432
7.843137,58,382.256955
8.235294,54,383.461615
9.607843,62,384.886278
7.058824,52,386.13578
9.411765,72,417.415243
8.431373,66,418.555436
6.470589,59,419.601616
9.215687,69,420.863732
9.607843,67,422.229902
9.019608,70,423.812352
6.078432,57,425.113081
9.215687,63,426.580907
8.235294,65,428.144305
5.686275,52,429.326877
7.254902,50,430.446078
6.666667,55,431.690671
8.627451,68,433.255367
9.019608,68,434.750489
7.843137,61,436.095262
6.27451,49,437.203783
9.019608,63,468.447391
8.823529,61,469.477704
5.882353,53,470.406393
9.215687,57,471.467246
6.666667,52,472.444061
6.470589,56,473.526744
9.215687,58,474.690479
6.862745,55,475.893094
5.686275,44,476.924047
6.862745,56,478.237866
5.882353,50,479.391611
8.627451,55,480.670662
6.27451,51,481.841361
9.019608,62,483.340377
8.627451,57,484.562703
8.235294,60,485.867252
7.843137,58,487.12817
8.431373,65,488.562216
6.862745,55,519.407449
8.039216,57,520.380248
8.039216,54,521.35647
6.862745,57,522.374052
7.254902,50,523.324113
8.235294,56,524.435538
9.411765,62,525.711637
7.450981,64,527.162462
9.411765,71,528.790323
9.215687,59,530.135157
7.058824,61,531.524192
8.235294,59,532.979284
9.019608,62,534.342245
6.470589,59,535.631506
8.431373,65,537.082481
6.862745,55,538.339604
7.254902,53,539.510183
9.607843,69,570.586435
9.215687,69,571.776283
7.450981,66,572.925651
8.431373,55,573.942441
7.647059,62,575.246089
