#{"t_start": 1695760609.549635, "env_id": null}
r,l,t
7.647059,55,2.875859
7.647059,61,4.031333
8.627451,59,5.328955
6.470589,60,6.63247
5.09804,46,7.653109
8.823529,58,8.953803
6.862745,63,10.400004
8.039216,54,11.629569
8.431373,62,13.01866
6.470589,47,14.118317
7.450981,61,15.45792
9.607843,60,16.791271
6.078432,59,18.163006
7.647059,57,19.445141
6.470589,53,20.627762
8.039216,54,21.81305
9.803922,69,23.377713
7.843137,63,54.786554
9.215687,63,55.858299
7.647059,62,56.978358
8.431373,56,57.999354
6.470589,56,59.104895
9.215687,62,60.320107
9.607843,61,61.650553
9.215687,62,63.169997
8.235294,67,64.737105
7.647059,52,66.046976
7.254902,54,67.241956
9.019608,61,68.607529
9.803922,65,70.108187
7.254902,59,71.478405
9.803922,67,73.06704
8.235294,56,74.361939
6.862745,54,75.541316
8.235294,67,106.555249
7.843137,54,107.522922
6.470589,59,108.608093
8.039216,66,109.845304
9.803922,65,111.211104
9.019608,59,112.570793
7.843137,63,114.08707
9.215687,64,115.661908
9.019608,68,117.303079
6.470589,59,118.616717
4.509804,49,119.796998
5.686275,50,120.910491
9.803922,65,122.353022
9.019608,64,123.834667
7.843137,63,125.302275
9.803922,65,126.753149
9.411765,65,157.661718
8.431373,56,158.627885
8.823529,55,159.629067
7.254902,59,160.769295
8.039216,64,162.020925
7.450981,58,163.337917
8.823529,67,164.877277
7.647059,53,166.11684
8.235294,65,167.647385
7.450981,62,169.053141
9.019608,62,170.507059
9.215687,61,171.841137
8.627451,63,173.272058
8.823529,65,174.720774
7.843137,56,175.965988
6.078432,49,177.070272
7.450981,54,178.335643
9.803922,69,209.560105
7.647059,54,210.487409
8.823529,60,211.618194
7.647059,57,212.678593
7.058824,61,214.043632
9.019608,70,215.666137
6.078432,55,216.925061
9.803922,65,218.41918
7.450981,63,219.908283
8.431373,67,221.424472
7.254902,53,222.662915
8.431373,66,224.180679
6.862745,50,225.289844
8.039216,67,226.800452
5.09804,48,227.907019
7.450981,63,229.31372
8.235294,63,260.34442
9.215687,67,261.53838
7.058824,63,262.806771
9.803922,60,264.123041
9.803922,62,265.473225
7.450981,55,266.651273
8.627451,68,268.168603
7.647059,52,269.335848
9.607843,65,270.869708
9.215687,67,272.406896
8.627451,69,274.015753
8.823529,60,275.473839
8.627451,70,277.093222
7.450981,57,278.511436
9.411765,58,279.896808
9.607843,70,281.518187
6.27451,50,312.933638
6.470589,59,314.06637
9.607843,68,315.413496
7.647059,52,316.480203
8.431373,64,317.852497
7.450981,60,319.095908
5.686275,53,320.337481
6.470589,47,321.552985
9.019608,58,322.981699
8.235294,61,324.533685
4.117647,39,325.422329
9.411765,59,326.815694
7.647059,57,328.055825
8.039216,63,329.505017
7.647059,60,330.888294
6.862745,63,332.323283
9.803922,65,333.812898
7.450981,61,365.53905
9.019608,63,366.645112
8.235294,63,367.742908
7.254902,52,368.673441
6.470589,50,369.629404
9.803922,69,370.990037
8.431373,67,372.321348
8.627451,61,373.695045
7.450981,57,375.017674
6.666667,58,376.388526
5.294118,50,377.669793
8.431373,66,379.142374
7.058824,55,380.434819
7.647059,63,381.825943
6.862745,60,383.164838
9.803922,65,384.638864
6.862745,50,385.850195
9.019608,64,417.094541
8.823529,60,418.100286
6.666667,59,419.154976
8.235294,64,420.300376
9.803922,70,421.610072
9.215687,70,423.141578
6.862745,48,424.267806
9.411765,70,425.850522
7.647059,53,427.105428
4.117647,38,428.006135
7.647059,63,429.471171
7.450981,57,430.75982
7.450981,53,431.935437
8.431373,63,433.392257
8.627451,56,434.615445
6.470589,51,435.747695
8.627451,60,437.100669
9.411765,69,468.478202
6.27451,58,469.455736
9.803922,66,470.629225
6.862745,54,471.622816
5.686275,50,472.5646
9.803922,67,473.873169
7.058824,61,475.088454
7.843137,51,476.283605
6.666667,61,477.707978
5.686275,54,478.957868
8.235294,56,480.254851
8.039216,61,481.666784
8.823529,60,483.112557
9.803922,70,484.637869
8.431373,58,485.898063
7.254902,55,487.092063
9.019608,74,488.741241
6.862745,55,519.553739
7.647059,62,520.617727
8.235294,70,521.866161
6.862745,57,522.912668
6.078432,51,523.905923
8.627451,63,525.167078
8.627451,57,526.411312
7.254902,64,527.883245
9.019608,69,529.446212
9.215687,69,531.017351
7.647059,53,532.24573
8.039216,64,533.779854
9.607843,70,535.312303
6.470589,60,536.637761
7.254902,56,537.906787
6.078432,54,539.128429
8.039216,60,570.141458
9.803922,61,571.172553
8.431373,59,572.202216
8.431373,59,573.245917
8.235294,66,574.531044
7.843137,54,575.707814
7.647059,60,577.13901
9.411765,60,578.645362
7.254902,55,579.975601
8.823529,67,581.634775
8.627451,66,583.382141
8.823529,58,584.732144
9.215687,61,586.117188
9.411765,60,587.561027
5.294118,45,588.59965
6.078432,57,589.930793
6.470589,60,591.300626
7.254902,55,622.442466
9.411765,63,623.646901
8.039216,61,624.858653
9.607843,66,626.180563
8.627451,67,627.497259
6.862745,54,628.658335
8.823529,57,630.018591
6.078432,50,631.212616
9.215687,67,633.03827
9.411765,61,634.456751
9.803922,65,635.980381
7.450981,59,637.324786
9.215687,69,638.962185
8.431373,57,640.248
8.431373,58,641.606528
9.215687,69,643.413749
9.215687,65,675.344847
7.058824,62,676.469576
8.235294,56,677.516953
8.431373,64,678.98989
7.843137,63,680.486646
8.627451,59,681.829655
5.686275,57,683.223613
9.607843,65,684.776666
9.411765,60,686.297226
8.823529,59,687.660808
8.039216,56,688.908765
7.843137,61,690.326296
8.039216,68,691.84803
8.627451,63,693.274902
8.431373,67,694.777639
8.823529,68,696.444828
7.254902,60,697.767493
4.901961,55,728.596833
9.019608,64,729.749435
9.803922,65,731.058481
8.235294,67,732.469822
7.843137,50,733.613302
8.627451,58,734.919339
7.058824,51,736.106834
7.843137,63,737.57569
9.411765,60,739.01189
7.254902,57,740.416903
7.647059,55,741.650427
8.627451,61,743.017857
5.294118,55,744.346902
9.411765,68,745.930495
9.607843,64,747.370165
5.882353,56,748.663722
7.647059,65,779.904059
8.823529,61,780.958474
5.686275,56,781.909959
8.627451,66,783.248312
7.843137,55,784.465679
9.019608,57,785.749962
9.411765,70,787.375529
9.019608,58,788.793775
9.411765,61,790.140628
6.470589,64,791.615609
9.019608,59,792.935044
9.019608,59,794.330888
9.803922,66,795.798339
8.823529,68,797.409757
7.647059,61,798.772886
7.647059,58,800.170986
8.039216,64,801.603616
7.058824,55,832.650366
7.843137,66,833.807174
5.09804,51,834.748127
7.450981,56,835.830671
3.333333,38,836.552041
9.019608,65,837.806205
6.862745,62,839.088467
6.862745,55,840.348946
8.039216,65,841.841555
8.039216,64,843.328174
8.627451,68,844.864966
9.215687,69,846.470788
8.823529,67,847.951925
8.235294,69,849.49054
8.431373,69,851.05564
7.843137,63,852.479559
8.627451,65,883.483632
8.431373,68,884.660184
7.450981,60,885.755984
9.019608,62,887.078252
8.039216,57,888.31162
8.431373,71,889.855031
9.019608,58,891.147872
8.431373,56,892.433131
7.843137,63,893.837244
8.627451,63,895.240718
9.019608,63,896.663355
6.862745,49,897.780781
7.647059,60,899.131363
6.078432,56,900.409524
7.647059,59,901.797112
8.235294,59,903.155174
8.235294,60,904.642281
7.058824,61,935.373921
4.117647,41,936.106452
7.450981,57,937.120856
8.235294,54,938.122095
8.235294,60,939.306122
7.254902,56,940.412501
8.823529,56,941.631766
7.254902,51,942.810346
8.823529,63,944.253657
8.823529,63,945.721594
9.215687,63,947.222982
8.823529,62,948.663516
8.627451,66,950.126568
6.862745,51,951.301788
8.627451,58,952.615547
9.803922,64,954.079862
8.627451,62,955.457995
8.431373,56,986.168964
6.470589,56,987.110492
8.823529,70,988.348871
8.627451,66,989.603605
7.058824,54,990.623541
9.019608,62,991.836065
8.431373,55,993.031819
7.450981,61,994.44167
8.823529,59,995.847701
7.843137,64,997.281672
6.078432,48,998.384739
7.058824,50,999.645575
7.254902,53,1000.835212
2.941177,31,1001.587554
8.823529,57,1002.882585
9.215687,60,1004.207068
8.235294,57,1005.48397
8.627451,64,1036.651627
5.490196,52,1037.526134
8.235294,56,1038.509341
7.647059,54,1039.534047
8.431373,62,1040.87336
8.039216,65,1042.279854
9.411765,59,1043.576661
9.803922,61,1044.922409
9.607843,69,1046.533602
7.254902,50,1047.613877
9.607843,62,1048.976329
9.607843,63,1050.375888
6.666667,51,1051.534108
8.431373,59,1052.859349
6.666667,49,1053.927307
6.27451,60,1055.309389
7.450981,54,1056.648964
8.823529,67,1087.834978
9.803922,65,1088.927309
7.647059,53,1089.830371
8.627451,61,1090.933224
9.607843,62,1092.100332
7.450981,55,1093.153238
8.823529,60,1094.325162
7.647059,52,1095.526058
9.215687,70,1097.123863
9.411765,61,1098.512442
8.627451,71,1100.137207
7.647059,58,1101.447092
8.039216,68,1102.990741
7.254902,54,1104.192019
8.627451,63,1105.644164
8.627451,68,1107.156378
9.215687,61,1108.558409
9.019608,72,1139.611069
6.078432,46,1140.425506
8.039216,54,1141.387081
6.862745,51,1142.3309
8.235294,68,1143.632847
7.647059,55,1144.829011
7.647059,61,1146.192943
9.215687,70,1147.769456
5.490196,55,1148.991686
7.254902,59,1150.35617
9.019608,63,1151.809801
8.039216,64,1153.257012
8.627451,66,1154.747102
8.431373,64,1156.182455
7.843137,54,1157.444904
8.235294,60,1158.77947
8.627451,57,1189.885993
8.235294,57,1190.853376
8.627451,56,1191.815522
9.607843,62,1192.927509
7.254902,50,1193.826291
8.431373,54,1194.856864
7.254902,66,1196.161905
5.09804,45,1197.172143
8.431373,58,1198.513484
9.411765,69,1200.084036
7.647059,53,1201.307147
8.235294,56,1202.639357
4.901961,53,1203.934968
7.843137,64,1205.351144
8.235294,55,1206.55813
9.803922,67,1208.058684
7.058824,52,1209.281452
4.509804,43,1210.257633
8.431373,61,1241.258458
7.254902,52,1242.163034
8.823529,70,1243.394736
8.431373,57,1244.442645
9.215687,63,1245.642473
7.450981,53,1246.737387
9.803922,65,1248.170955
5.882353,53,1249.400587
6.078432,55,1250.683311
8.627451,68,1252.230154
8.627451,68,1253.86314
9.215687,59,1255.185088
9.411765,67,1256.739408
8.039216,61,1258.079232
5.882353,51,1259.188398
7.647059,65,1260.640521
8.039216,66,1262.186071
8.627451,68,1293.116094
5.686275,54,1294.049381
7.843137,63,1295.325045
8.431373,59,1296.637811
8.235294,57,1297.878331
8.235294,67,1299.367554
7.843137,65,1300.847549
9.411765,68,1302.400441
7.647059,54,1303.620476
8.431373,61,1305.028315
9.607843,64,1306.456198
8.627451,69,1308.053897
8.823529,62,1309.426994
8.039216,64,1310.906422
8.823529,69,1312.444846
9.411765,70,1343.85878
9.411765,60,1344.883471
8.235294,58,1345.893213
6.666667,59,1347.069198
9.411765,69,1348.577371
4.901961,54,1349.77002
7.647059,66,1351.207139
7.647059,55,1352.421304
8.431373,65,1353.875842
7.254902,59,1355.259052
9.019608,59,1356.665165
7.843137,65,1358.117483
8.823529,69,1359.665047
8.431373,67,1361.221173
7.450981,54,1362.488377
7.843137,64,1363.940532
9.411765,59,1365.317785
8.431373,61,1396.134909
6.470589,58,1397.130893
9.803922,64,1398.391208
7.450981,54,1399.554981
8.823529,61,1400.871305
5.686275,54,1402.068816
7.450981,62,1403.451514
4.509804,47,1404.507614
9.019608,59,1405.920985
7.058824,61,1407.249338
8.823529,67,1408.743294
9.411765,59,1410.076722
9.607843,61,1411.510204
6.862745,53,1412.697665
6.470589,46,1413.778532
8.823529,66,1415.280212
9.607843,70,1416.849199
8.039216,57,1447.703026
8.627451,59,1448.723501
9.215687,64,1449.9685
7.647059,61,1451.325198
6.666667,47,1452.33932
9.803922,70,1453.907093
9.411765,66,1455.380499
9.215687,69,1456.942776
8.235294,56,1458.225588
8.627451,63,1459.609944
8.039216,64,1461.052181
8.235294,59,1462.417827
9.411765,71,1464.053066
7.450981,53,1465.239545
8.235294,54,1466.426853
8.431373,55,1467.700745
9.803922,60,1498.91636
8.235294,54,1499.848821
8.823529,57,1500.901783
7.058824,56,1502.097913
7.058824,56,1503.340771
6.862745,56,1504.582591
9.803922,71,1506.140059
9.215687,63,1507.575087
8.627451,68,1509.101746
