#{"t_start": 1695760609.5663564, "env_id": null}
r,l,t
6.862745,54,2.832222
7.647059,64,4.070065
9.019608,61,5.420175
4.313725,41,6.278652
5.294118,53,7.451546
8.431373,56,8.688321
7.843137,56,9.990591
6.862745,55,11.242283
7.450981,58,12.552622
6.078432,52,13.770489
7.647059,56,15.001317
9.019608,61,16.366537
5.882353,52,17.515565
7.843137,66,19.042357
5.882353,60,20.36043
7.450981,55,21.59951
9.607843,69,23.133446
7.647059,63,54.59507
9.803922,70,55.806506
7.450981,59,56.868474
9.607843,68,58.119228
7.843137,55,59.206005
9.019608,60,60.404052
9.803922,65,61.827936
9.411765,70,63.543084
8.235294,69,65.162588
8.431373,55,66.493838
7.843137,56,67.731915
9.019608,75,69.425661
9.803922,65,70.9564
7.254902,56,72.209917
9.215687,61,73.726789
9.019608,58,74.98787
8.039216,65,106.08405
8.235294,59,107.092611
7.647059,64,108.288011
5.686275,47,109.175888
7.647059,58,110.281967
9.607843,62,111.666348
8.235294,57,112.965484
7.450981,66,114.639078
9.411765,72,116.331752
9.019608,57,117.705325
7.058824,55,118.966515
4.117647,49,120.080132
6.666667,59,121.389037
9.803922,66,122.915694
8.823529,65,124.371576
8.039216,63,125.841526
9.803922,66,156.984323
8.235294,57,157.965717
9.019608,63,159.06711
9.019608,70,160.373478
7.647059,59,161.519084
7.647059,66,162.957681
7.843137,63,164.396524
7.843137,65,165.914596
7.647059,63,167.377899
8.039216,65,168.881602
7.058824,56,170.179613
9.019608,70,171.727994
8.823529,61,173.119169
9.019608,71,174.704052
8.823529,66,176.179478
7.843137,53,177.396353
6.27451,47,178.476647
5.686275,53,209.390315
9.607843,69,210.605147
6.27451,57,211.665672
8.627451,61,212.806095
8.235294,54,214.026911
7.254902,54,215.276917
9.019608,64,216.756738
6.27451,47,217.846608
9.803922,65,219.37397
7.254902,62,220.774423
8.039216,69,222.385625
6.27451,55,223.625067
8.431373,64,225.068179
6.666667,48,226.132178
8.823529,61,227.553009
7.058824,51,228.68907
7.450981,57,229.943524
8.431373,54,260.672196
8.627451,62,261.818129
8.235294,59,263.07141
9.607843,64,264.465042
9.607843,65,265.86313
6.470589,62,267.218243
8.431373,66,268.689967
7.254902,62,270.108757
9.803922,69,271.671093
8.431373,60,273.09197
9.215687,68,274.682181
8.823529,63,276.186274
7.647059,54,277.457886
7.058824,60,278.955386
9.411765,60,280.389315
9.215687,66,281.925117
6.666667,50,313.276019
6.470589,52,314.266466
9.803922,67,315.615943
6.666667,60,316.836119
8.431373,65,318.229217
8.627451,67,319.679231
6.666667,50,320.944374
7.058824,63,322.492883
9.411765,71,324.305283
8.823529,58,325.66025
6.078432,59,327.014663
9.607843,68,328.515174
8.039216,66,329.995603
6.27451,51,331.211716
7.647059,62,332.61867
6.666667,62,334.092675
9.411765,59,365.684247
7.254902,52,366.590795
8.235294,61,367.648544
8.627451,61,368.756407
5.686275,49,369.69058
4.901961,42,370.506289
9.411765,62,371.750494
8.627451,68,373.212004
9.215687,68,374.764105
7.254902,61,376.216683
5.490196,54,377.578072
5.882353,53,378.764498
8.431373,60,380.178302
6.862745,54,381.372107
7.843137,62,382.751401
5.686275,49,383.842056
9.803922,65,385.336785
7.058824,63,386.841365
9.411765,68,417.893448
8.431373,65,419.031069
7.843137,52,419.943363
9.019608,69,421.228943
9.607843,67,422.645332
9.019608,71,424.270644
6.470589,50,425.410665
9.607843,69,427.006556
8.431373,66,428.60926
4.705883,46,429.651253
7.843137,55,430.883683
7.254902,56,432.118542
7.647059,57,433.448342
9.019608,62,434.813117
8.039216,59,436.109351
6.078432,56,437.391383
8.235294,63,468.580084
9.019608,69,469.765398
7.647059,53,470.708133
9.607843,63,471.874101
7.058824,57,472.957104
6.470589,58,474.098474
9.803922,68,475.518075
7.254902,53,476.750206
6.27451,51,477.948133
7.058824,56,479.239497
7.058824,51,480.421261
9.019608,61,481.834431
6.862745,54,483.14416
8.823529,63,484.512093
9.803922,65,485.929943
8.235294,67,487.398496
7.450981,54,488.576306
8.431373,56,519.441608
7.450981,54,520.353095
8.431373,53,521.317971
8.823529,64,522.463522
7.254902,65,523.711347
8.235294,57,524.856679
7.843137,59,526.10617
8.431373,58,527.444849
7.254902,57,528.725676
9.215687,68,530.302793
8.039216,63,531.731366
5.882353,47,532.900007
7.450981,58,534.177956
9.607843,63,535.554405
6.862745,61,536.908217
8.431373,67,538.445364
6.078432,50,539.549809
7.450981,64,570.522516
9.803922,62,571.60109
8.039216,60,572.638856
7.647059,59,573.706125
8.431373,58,574.902902
8.235294,59,576.214578
7.647059,65,577.877244
9.607843,69,579.506531
6.470589,58,581.002738
9.215687,57,582.471348
8.431373,68,584.100804
8.627451,57,585.406382
8.823529,60,586.761918
9.803922,65,588.360266
6.862745,61,589.750681
6.862745,60,591.14642
6.666667,61,622.425745
7.843137,52,623.412112
9.019608,70,624.800374
7.254902,57,625.964854
9.411765,61,627.14493
7.843137,63,628.46535
5.294118,55,629.741655
9.019608,57,631.125144
6.666667,51,632.422586
8.235294,55,633.860148
9.411765,70,635.535867
9.411765,61,636.895506
7.843137,64,638.39814
9.411765,72,640.041939
8.431373,56,641.333338
9.215687,67,643.034457
9.215687,65,644.734214
9.019608,63,676.247901
6.666667,57,677.281558
8.235294,57,678.522294
8.235294,66,680.134096
7.450981,62,681.553714
7.843137,57,682.940125
7.058824,50,684.133872
9.803922,65,685.780211
9.803922,66,687.339662
9.411765,70,688.892044
7.843137,55,690.175854
8.039216,59,691.505688
9.019608,62,692.895546
9.019608,67,694.399295
8.039216,61,695.835772
8.235294,60,697.23705
6.666667,50,728.086116
6.862745,53,729.010578
9.215687,72,730.362484
9.803922,63,731.718458
7.843137,67,733.126072
7.058824,53,734.346688
8.039216,66,735.858285
5.490196,57,737.168099
7.450981,57,738.508572
8.627451,58,740.000014
6.27451,49,741.095699
7.843137,54,742.305682
9.019608,66,743.885852
5.686275,50,745.082446
9.607843,69,746.629838
9.411765,70,748.228395
8.235294,57,749.526187
7.058824,57,780.418309
9.019608,67,781.574453
5.294118,52,782.505508
8.235294,55,783.731775
8.039216,54,784.916679
8.039216,59,786.253661
9.607843,68,787.93716
9.803922,61,789.294683
9.803922,68,790.860963
6.078432,62,792.263781
8.627451,59,793.650332
8.627451,58,794.935575
9.803922,65,796.475159
9.411765,64,797.920567
7.450981,53,799.112835
7.450981,58,800.505714
7.450981,57,801.780873
6.862745,56,832.797938
7.254902,57,833.790453
6.27451,48,834.670799
8.235294,55,835.737184
6.27451,58,836.828876
8.823529,60,838.024173
6.078432,53,839.121355
7.058824,60,840.494248
8.627451,65,841.990481
7.843137,63,843.452082
8.235294,55,844.695069
8.627451,57,846.01985
8.627451,60,847.38103
8.627451,60,848.70669
7.843137,53,849.870391
6.862745,54,851.117144
8.823529,68,852.649346
8.431373,68,883.6761
7.647059,55,884.599842
9.019608,60,885.694691
7.254902,60,886.966319
8.431373,69,888.470147
9.215687,68,889.94856
8.431373,57,891.23325
6.862745,50,892.360754
8.627451,58,893.664472
9.607843,68,895.168399
7.058824,58,896.504844
5.686275,53,897.698262
5.294118,41,898.610386
7.843137,62,900.041509
7.843137,66,901.566768
6.666667,54,902.805592
6.862745,63,904.379731
5.882353,54,935.004014
8.627451,66,936.227065
7.843137,64,937.350343
7.058824,66,938.608651
7.450981,61,939.820493
8.431373,60,941.041147
6.862745,53,942.265273
9.019608,59,943.602172
8.431373,62,945.034234
8.627451,57,946.353646
8.823529,61,947.867874
8.627451,68,949.385156
6.078432,49,950.490614
8.627451,55,951.737074
9.803922,63,953.144368
9.019608,59,954.52353
9.411765,70,985.676691
7.254902,51,986.53041
8.431373,59,987.548975
8.823529,60,988.627955
5.490196,48,989.546835
9.215687,70,990.862936
7.647059,63,992.111821
7.254902,58,993.408507
9.215687,71,995.099392
7.058824,52,996.310816
6.666667,59,997.642967
6.862745,61,999.148405
8.627451,65,1000.603283
