#{"t_start": 1695760609.5270026, "env_id": null}
r,l,t
7.843137,62,3.058951
6.470589,59,4.179588
8.039216,58,5.459529
6.666667,63,6.815194
5.09804,45,7.83985
8.431373,56,9.098276
7.254902,53,10.282422
7.843137,65,11.775347
9.215687,68,13.34918
4.313725,46,14.379789
6.666667,55,15.574841
9.803922,65,17.014893
5.882353,57,18.367428
8.431373,68,19.867188
6.470589,61,21.227138
8.431373,66,22.685263
9.411765,62,54.228667
7.450981,65,55.349111
8.823529,58,56.380893
7.450981,56,57.396241
9.019608,62,58.582718
7.450981,56,59.683241
8.627451,56,60.800424
9.803922,66,62.311819
9.803922,65,63.8974
8.431373,66,65.450086
7.647059,54,66.764033
7.647059,65,68.212127
7.843137,58,69.519243
9.803922,66,71.074305
8.039216,57,72.35294
9.803922,66,73.972238
8.431373,64,75.364084
8.431373,65,106.384186
7.843137,55,107.351586
6.470589,61,108.474517
6.470589,57,109.54731
7.843137,59,110.714997
9.803922,66,112.220115
8.627451,56,113.520937
8.235294,55,114.941395
9.411765,71,116.654061
9.019608,58,117.984905
7.843137,54,119.243968
4.705883,48,120.327332
6.470589,60,121.657472
9.215687,62,123.097419
9.411765,71,124.685722
7.254902,56,125.99961
9.019608,58,156.959366
9.019608,69,158.161895
9.215687,58,159.173213
9.019608,59,160.270885
8.431373,59,161.411758
7.450981,57,162.628079
7.647059,63,164.054806
8.823529,66,165.593862
7.843137,65,167.082581
8.431373,66,168.631492
7.647059,65,170.144666
9.607843,60,171.482582
9.607843,69,173.005468
8.235294,69,174.574036
8.039216,61,175.935503
7.058824,62,177.354477
6.470589,52,208.555705
7.450981,62,209.621796
9.607843,69,210.869027
6.27451,57,211.914794
9.215687,69,213.292956
6.862745,56,214.57069
6.862745,54,215.812556
9.215687,64,217.277382
5.294118,50,218.413257
9.803922,65,219.955118
8.039216,65,221.425922
8.431373,68,223.015577
5.882353,56,224.310579
8.039216,56,225.544574
7.450981,53,226.718329
7.450981,59,228.101182
6.27451,48,229.132002
7.254902,57,260.102642
8.039216,65,261.250964
8.627451,63,262.425655
7.450981,63,263.853219
9.411765,65,265.274022
9.803922,65,266.673906
7.254902,55,267.877277
8.039216,55,269.127262
6.470589,56,270.436005
9.607843,64,271.877445
8.039216,59,273.266026
8.823529,56,274.582314
9.215687,64,276.119091
7.843137,65,277.663368
7.254902,65,279.295723
9.607843,68,280.853042
9.019608,61,282.289396
7.843137,55,313.660928
6.078432,47,314.565764
9.607843,64,315.884784
7.058824,61,317.148512
8.431373,66,318.525077
8.823529,66,319.998199
6.470589,57,321.447582
7.647059,64,323.031629
9.607843,70,324.77412
9.019608,66,326.343177
5.882353,49,327.43028
9.215687,63,328.829509
8.431373,60,330.177417
7.058824,59,331.561001
7.843137,59,332.902279
6.078432,63,334.40784
9.411765,69,366.083232
7.254902,51,366.971337
9.019608,60,368.033058
8.039216,60,369.137435
7.450981,51,370.125118
6.470589,53,371.192173
9.803922,68,372.553684
7.843137,63,373.985958
9.019608,67,375.548354
7.254902,58,376.925888
6.078432,57,378.341347
7.058824,49,379.435724
8.823529,68,380.990204
7.450981,54,382.188043
7.647059,62,383.590153
5.882353,50,384.741217
9.607843,65,386.282541
7.058824,49,417.170696
9.019608,60,418.182098
8.039216,59,419.234213
6.862745,59,420.282089
9.019608,58,421.365662
9.019608,66,422.775351
8.431373,62,424.188594
6.27451,49,425.320004
8.823529,57,426.63435
8.039216,59,428.028768
5.686275,55,429.31317
8.235294,57,430.592397
7.254902,56,431.849403
