#{"t_start": 1695760609.4778957, "env_id": null}
r,l,t
8.039216,53,2.899649
6.27451,50,3.836548
8.235294,65,5.24669
5.490196,52,6.368111
5.490196,45,7.373347
7.254902,59,8.657142
6.862745,59,10.031327
7.647059,61,11.424611
7.450981,58,12.734409
6.470589,47,13.838928
7.843137,56,15.069714
9.803922,65,16.522276
6.470589,57,17.779334
8.431373,68,19.354069
6.078432,57,20.630076
8.627451,56,21.864199
9.019608,58,23.147184
7.450981,56,54.512093
9.803922,65,55.622794
6.666667,61,56.709288
9.019608,60,57.810712
7.843137,55,58.883097
9.803922,65,60.149423
9.411765,61,61.448709
9.019608,60,62.898282
8.235294,66,64.453863
7.843137,64,66.043478
8.235294,56,67.287637
8.431373,65,68.746514
9.803922,65,70.253256
7.647059,53,71.482095
9.411765,61,72.917168
8.823529,66,74.459397
7.843137,53,75.613055
7.843137,56,106.433292
6.666667,62,107.529492
6.666667,61,108.663127
7.843137,66,109.899508
9.215687,61,111.170828
9.019608,69,112.758471
7.058824,60,114.220931
9.019608,68,115.869678
9.215687,58,117.286626
5.686275,52,118.449086
5.686275,45,119.523492
5.686275,57,120.793157
9.803922,66,122.252788
8.431373,59,123.634922
8.039216,65,125.138443
8.235294,56,126.407655
8.235294,57,157.276368
8.823529,68,158.462079
8.431373,57,159.467953
7.450981,60,160.603234
7.647059,62,161.818897
8.039216,63,163.199145
8.627451,60,164.578194
8.039216,53,165.804634
8.235294,66,167.335341
7.647059,64,168.832673
9.607843,68,170.406422
9.411765,69,171.93653
8.823529,67,173.463167
6.666667,54,174.649277
7.254902,53,175.833768
6.862745,60,177.188142
7.647059,62,208.620841
9.411765,70,209.830029
6.470589,58,210.878544
8.823529,69,212.146516
7.647059,61,213.392684
7.450981,64,214.849393
9.411765,64,216.313038
6.27451,47,217.401702
9.803922,65,218.900198
7.254902,66,220.440348
8.431373,61,221.883662
3.921569,38,222.70555
8.431373,66,224.22436
5.490196,48,225.282965
7.450981,57,226.544694
5.882353,55,227.844033
8.039216,63,229.238051
8.235294,59,260.218894
9.215687,71,261.503128
7.254902,61,262.672756
9.607843,60,264.014729
9.411765,62,265.374834
6.666667,55,266.537429
7.843137,69,268.075072
5.686275,45,269.078657
9.215687,66,270.622921
8.823529,68,272.17619
8.823529,70,273.813591
9.803922,65,275.352361
9.019608,69,276.998907
6.862745,57,278.404649
9.411765,69,280.068266
8.627451,59,281.404734
7.254902,56,312.986846
7.647059,53,313.988915
9.607843,64,315.230505
8.235294,55,316.362509
7.647059,60,317.649374
8.431373,66,319.01269
5.09804,47,320.12632
6.862745,52,321.442851
8.627451,59,322.908537
8.431373,59,324.413277
6.470589,60,325.819841
9.607843,68,327.364748
8.039216,66,328.827032
7.254902,60,330.173111
8.235294,58,331.542305
6.666667,63,332.972409
9.607843,70,334.652586
7.254902,59,366.092293
9.411765,64,367.22312
8.823529,66,368.401436
5.882353,54,369.404949
4.705883,43,370.234957
9.019608,63,371.494661
7.843137,61,372.733166
9.019608,68,374.28699
7.450981,62,375.751287
5.882353,51,376.947416
5.882353,54,378.288633
8.627451,69,379.84507
6.862745,52,381.039311
7.058824,58,382.338607
8.235294,56,383.584205
9.803922,68,385.15403
7.843137,65,386.67483
9.411765,69,417.81752
9.215687,65,418.954904
6.666667,59,419.992738
8.627451,58,421.071014
9.607843,70,422.512496
9.215687,69,424.076684
6.078432,54,425.310929
9.607843,70,426.92938
7.647059,59,428.364136
5.882353,56,429.634105
7.450981,62,431.040925
8.235294,57,432.30837
8.039216,67,433.853398
8.431373,61,435.180779
8.823529,66,436.636285
6.27451,59,438.034894
8.235294,61,469.019089
9.607843,68,470.192673
6.27451,49,471.070126
9.803922,65,472.290977
6.862745,57,473.40209
5.882353,49,474.364378
9.215687,59,475.606536
7.058824,62,477.048125
6.078432,49,478.199828
7.058824,60,479.588045
6.470589,60,480.984874
8.235294,59,482.44141
8.431373,65,483.885302
9.803922,66,485.319692
9.803922,70,486.835146
8.235294,66,488.264902
6.862745,61,519.2944
8.235294,60,520.32375
8.039216,57,521.348972
7.058824,55,522.336801
8.627451,64,523.541176
7.647059,63,524.814252
6.078432,55,525.952554
8.039216,60,527.320373
8.627451,59,528.664165
7.254902,56,529.952197
8.823529,58,531.260298
9.215687,59,532.68666
7.450981,55,533.949442
8.431373,61,535.276433
9.607843,69,536.79898
6.470589,57,538.0865
8.627451,64,539.519948
5.882353,53,570.351917
7.058824,61,571.392507
9.607843,62,572.459022
8.823529,65,573.620909
7.843137,62,574.890024
8.431373,59,576.196759
7.647059,62,577.750277
7.450981,54,579.04529
9.803922,60,580.535119
6.862745,52,581.819385
8.039216,53,583.205553
