#{"t_start": 1695760609.3709667, "env_id": null}
r,l,t
7.843137,54,3.027611
7.058824,61,4.188924
8.627451,69,5.733682
6.078432,60,7.02642
4.117647,40,7.913521
7.450981,53,9.071722
7.647059,58,10.411925
7.450981,64,11.878628
8.627451,60,13.223902
4.901961,49,14.373772
7.058824,63,15.751959
9.803922,66,17.219706
6.470589,54,18.501768
8.235294,67,19.975522
6.862745,53,21.161681
8.431373,56,22.396375
9.607843,72,24.058702
7.254902,63,55.301663
9.803922,65,56.441544
7.647059,56,57.4591
8.431373,58,58.550056
7.450981,62,59.776404
8.823529,62,61.021584
9.411765,65,62.52164
8.823529,63,64.053436
8.431373,58,65.429779
7.647059,63,66.939733
8.235294,58,68.240246
9.019608,58,69.51555
9.411765,59,70.911759
8.431373,65,72.384318
9.803922,65,73.991835
8.823529,65,75.410998
7.058824,56,106.295499
8.235294,60,107.323683
6.27451,58,108.400049
6.470589,52,109.389309
8.235294,55,110.431975
9.803922,66,111.919436
9.411765,62,113.329551
6.862745,57,114.777226
8.823529,60,116.189257
9.411765,68,117.828416
5.294118,57,119.141881
6.862745,50,120.275522
5.686275,59,121.584427
9.803922,63,123.040257
9.019608,62,124.42908
7.647059,54,125.699834
9.803922,66,127.165117
8.431373,58,157.917911
8.627451,58,158.909931
9.607843,70,160.189131
6.470589,54,161.246974
7.450981,56,162.361733
8.431373,54,163.604827
8.627451,60,164.986122
7.647059,62,166.426105
7.843137,65,167.975707
7.647059,62,169.371804
9.019608,70,170.975655
9.411765,69,172.516378
8.431373,59,173.867586
7.254902,58,175.156152
7.843137,52,176.305134
6.862745,52,177.477784
7.058824,56,208.780424
9.019608,59,209.777832
7.450981,54,210.710711
8.823529,68,211.98815
8.039216,55,213.03157
8.039216,54,214.252368
9.019608,70,215.865842
5.882353,55,217.123314
9.803922,65,218.625889
7.254902,54,219.897533
8.039216,59,221.241345
3.72549,34,222.083169
7.843137,55,223.310552
4.901961,44,224.300411
8.823529,68,225.831365
7.254902,49,226.921976
8.431373,57,228.257218
8.039216,63,229.643548
9.019608,68,260.71879
8.431373,55,261.717048
9.803922,64,263.006144
9.803922,64,264.41514
7.058824,62,265.762254
7.647059,68,267.228748
7.647059,61,268.590975
9.803922,70,270.153414
8.431373,57,271.497436
8.823529,62,272.93808
8.627451,57,274.286714
7.058824,55,275.620367
7.058824,57,276.944856
8.823529,61,278.430729
9.411765,69,280.09753
7.450981,63,281.543717
7.254902,63,313.260136
9.803922,68,314.561213
8.039216,57,315.709243
7.843137,60,316.927829
8.431373,58,318.186257
5.882353,47,319.119619
6.470589,60,320.539224
9.019608,69,322.300556
9.019608,71,324.14211
6.078432,56,325.39933
9.215687,58,326.799874
7.843137,67,328.255538
8.039216,55,329.517407
8.235294,68,331.087032
6.078432,57,332.391987
9.019608,59,333.723746
7.058824,57,335.119884
9.607843,61,366.508203
8.431373,56,367.486086
7.450981,53,368.424136
6.078432,46,369.273413
9.803922,67,370.578005
7.843137,54,371.663468
9.411765,70,373.118621
7.058824,63,374.562327
