#{"t_start": 1695760609.5476327, "env_id": null}
r,l,t
8.039216,54,2.850945
6.078432,54,3.863795
8.431373,68,5.353029
6.470589,59,6.634472
3.921569,43,7.577869
8.823529,66,9.097707
8.235294,63,10.526621
7.450981,66,12.03055
9.607843,70,13.640457
5.686275,52,14.791676
7.450981,55,16.00833
9.803922,65,17.449617
6.078432,59,18.829426
8.039216,66,20.265838
6.666667,62,21.662908
8.823529,66,23.131148
9.215687,64,54.612795
7.058824,57,55.595639
9.803922,66,56.774967
7.647059,65,57.958752
9.803922,67,59.289406
8.039216,54,60.343135
8.823529,58,61.602989
9.411765,65,63.194025
9.019608,60,64.590717
7.450981,54,65.948686
7.843137,60,67.300094
8.235294,66,68.76514
8.039216,62,70.205035
9.411765,60,71.597795
8.039216,57,72.946706
9.607843,60,74.338918
8.039216,55,75.543318
7.647059,57,106.38211
8.431373,64,107.524924
6.470589,64,108.709412
6.078432,57,109.768577
8.235294,57,110.951712
9.803922,66,112.45708
7.647059,62,113.896823
6.470589,50,115.203787
9.215687,70,116.921177
9.411765,59,118.224997
6.27451,55,119.525123
3.333333,37,120.356639
6.27451,57,121.615727
9.803922,61,123.028613
9.411765,63,124.435424
8.039216,65,125.951967
8.431373,57,127.222539
9.019608,67,158.073897
8.823529,66,159.230163
8.823529,62,160.392202
8.431373,67,161.701883
7.450981,56,162.92518
8.039216,62,164.348924
8.823529,70,165.981031
7.843137,54,167.214623
7.254902,59,168.58341
8.235294,60,169.997347
9.411765,63,171.385511
9.215687,61,172.753061
8.823529,64,174.205879
7.647059,60,175.549926
7.450981,49,176.647596
6.27451,54,177.929431
7.843137,55,209.005739
9.803922,65,210.103945
6.27451,58,211.174509
9.019608,58,212.261248
7.450981,53,213.375218
7.254902,50,214.493953
9.411765,70,216.108602
6.666667,59,217.465364
8.823529,58,218.81039
7.450981,56,220.125221
8.627451,67,221.688961
4.901961,42,222.615846
8.039216,60,223.967774
6.27451,58,225.29085
8.431373,65,226.746834
5.490196,46,227.822167
8.431373,60,229.138996
8.431373,64,260.226814
9.215687,68,261.449075
6.862745,61,262.631563
9.803922,60,263.971486
9.803922,61,265.305097
7.058824,55,266.467692
9.215687,59,267.760585
5.686275,51,268.923312
9.803922,67,270.486527
8.431373,60,271.835133
9.215687,69,273.457355
9.607843,70,275.108361
8.627451,66,276.695044
7.254902,62,278.201939
9.019608,70,279.89881
9.607843,69,281.499129
6.666667,60,313.135534
7.254902,52,314.113463
9.803922,65,315.397961
5.882353,51,316.431615
8.235294,63,317.787132
8.431373,68,319.215497
6.470589,58,320.621122
7.254902,63,322.201602
9.215687,69,323.986983
8.823529,66,325.504526
5.09804,43,326.528068
8.823529,58,327.801759
8.431373,68,329.340741
7.647059,62,330.768745
7.647059,67,332.305234
6.862745,60,333.675618
9.803922,70,365.595176
7.254902,56,366.564433
8.627451,66,367.728397
8.627451,67,368.934127
4.901961,47,369.853352
6.862745,59,371.010059
9.411765,65,372.305302
7.843137,54,373.519552
9.411765,61,374.922073
7.450981,62,376.390528
6.27451,57,377.830675
5.490196,46,378.852439
8.039216,62,380.303319
7.254902,53,381.479827
7.450981,62,382.856784
6.27451,53,384.039604
9.803922,65,385.579827
7.254902,50,386.73183
9.215687,63,417.727519
8.431373,71,418.976973
5.882353,50,419.84551
8.627451,59,420.942811
