#{"t_start": 1695760609.3577862, "env_id": null}
r,l,t
7.843137,60,3.187155
7.058824,55,4.202105
8.431373,65,5.648332
6.078432,52,6.757535
5.686275,53,7.955276
8.627451,68,9.516201
8.039216,54,10.716467
7.647059,65,12.200862
8.431373,62,13.623735
5.882353,43,14.596573
7.450981,63,15.97838
9.607843,63,17.372882
5.882353,45,18.439016
8.039216,56,19.685398
7.843137,53,20.870736
8.235294,54,22.061012
9.215687,61,23.422407
7.450981,66,54.920041
8.431373,57,55.892744
7.450981,62,57.004878
8.627451,57,58.040819
7.058824,59,59.195359
9.803922,65,60.46924
9.411765,64,61.863514
9.215687,65,63.466241
7.647059,60,64.853992
7.843137,67,66.511463
8.431373,66,67.965537
8.823529,61,69.32953
9.215687,61,70.763485
7.843137,65,72.230218
9.803922,66,73.842565
8.823529,66,75.31515
8.235294,60,106.29262
8.431373,68,107.480115
7.450981,64,108.659781
6.27451,54,109.671954
8.039216,65,110.978543
9.803922,61,112.369274
8.627451,57,113.689156
7.843137,64,115.321416
8.039216,61,116.796252
9.019608,60,118.174163
7.843137,55,119.465407
4.313725,47,120.516419
6.078432,48,121.572069
9.803922,61,122.971295
8.823529,62,124.371043
7.450981,53,125.623778
9.607843,70,127.178297
8.823529,67,158.091982
8.627451,58,159.09244
9.411765,69,160.362703
8.627451,69,161.702119
7.450981,60,162.989475
8.431373,63,164.436677
8.823529,68,166.02233
8.039216,63,167.480566
8.235294,65,169.00463
7.647059,63,170.459049
9.215687,61,171.802622
9.019608,60,173.128479
8.039216,56,174.420808
5.686275,49,175.521791
8.039216,65,176.972969
6.862745,57,178.308055
7.254902,57,209.379843
9.411765,70,210.56484
6.27451,55,211.61107
9.019608,65,212.806991
8.039216,53,213.985225
5.490196,45,215.044937
9.411765,63,216.492287
4.705883,41,217.420555
9.215687,59,218.79134
8.039216,61,220.22183
8.235294,69,221.820605
6.078432,54,223.041077
8.431373,59,224.402797
5.686275,46,225.403074
8.627451,69,226.957709
6.078432,56,228.270399
7.647059,56,229.505569
8.039216,67,260.60243
9.019608,62,261.715358
7.254902,62,262.951824
9.803922,61,264.293854
9.803922,65,265.710778
7.647059,56,266.915225
8.431373,67,268.413427
6.27451,53,269.603996
8.823529,59,270.992906
8.823529,67,272.51494
8.627451,55,273.794904
9.215687,62,275.242845
8.235294,60,276.659364
7.450981,56,278.037306
8.823529,62,279.596855
8.431373,59,280.916323
6.078432,50,282.111661
5.09804,51,313.48459
9.607843,64,314.694764
6.470589,60,315.923691
8.627451,65,317.269634
9.019608,57,318.479851
6.078432,54,319.634624
7.843137,66,321.28835
9.411765,69,322.976701
8.431373,66,324.654891
5.294118,46,325.721113
9.411765,68,327.288507
7.843137,58,328.558877
5.09804,46,329.629591
7.647059,56,330.908043
7.254902,55,332.15505
9.607843,70,333.75962
7.450981,60,335.222866
9.019608,69,366.738757
8.627451,67,367.918243
4.705883,46,368.740196
7.058824,49,369.661874
9.411765,65,370.926547
8.235294,56,372.059326
9.019608,60,373.343911
7.058824,58,374.666868
5.294118,47,375.769623
5.882353,47,376.881272
8.431373,66,378.510563
7.254902,61,379.871344
7.647059,61,381.285471
7.058824,59,382.600642
9.607843,64,384.021051
7.843137,51,385.199247
9.215687,68,386.79494
9.019608,61,417.796503
7.254902,60,418.836844
9.411765,60,419.895773
9.411765,64,421.07013
8.823529,59,422.25576
5.686275,53,423.433943
9.411765,70,425.03546
8.039216,54,426.287148
4.705883,39,427.193434
7.647059,59,428.618465
7.450981,57,429.927933
8.039216,67,431.444284
8.039216,57,432.694297
9.215687,68,434.264097
6.078432,55,435.467697
9.411765,71,437.049108
8.627451,55,438.33448
5.882353,50,469.087636
9.803922,65,470.204136
6.666667,55,471.190236
5.882353,47,472.082672
9.803922,65,473.32233
7.450981,64,474.583901
6.078432,49,475.614319
6.666667,54,476.865068
5.882353,58,478.229507
7.843137,54,479.476737
7.647059,57,480.79993
9.019608,60,482.194697
9.803922,65,483.739476
8.431373,67,485.197003
6.27451,58,486.45682
9.019608,58,487.723297
7.058824,61,489.061993
7.647059,52,519.798929
8.039216,57,520.762007
7.450981,54,521.734807
6.470589,56,522.757114
8.235294,66,524.021483
8.823529,66,525.340901
7.450981,62,526.699613
9.019608,68,528.254287
9.215687,68,529.811952
6.078432,50,530.947652
8.627451,61,532.336665
9.803922,68,533.971703
6.27451,58,535.241527
7.450981,58,536.516719
6.078432,51,537.664152
7.058824,57,538.97427
9.803922,65,570.151737
8.235294,60,571.159266
8.235294,60,572.189973
8.823529,58,573.219058
7.450981,62,574.391833
7.450981,58,575.614149
9.607843,69,577.249191
6.470589,60,578.7696
8.039216,62,580.284116
8.627451,66,581.909946
7.450981,58,583.444983
9.019608,60,584.849795
9.803922,66,586.36363
6.666667,59,587.781123
6.666667,58,589.10921
6.666667,63,590.593721
7.843137,63,592.010607
8.627451,59,623.16479
8.235294,60,624.307696
9.607843,70,625.751648
8.039216,57,626.851199
5.882353,54,627.938487
8.627451,55,629.13967
6.666667,49,630.339536
9.411765,69,631.990016
9.215687,68,633.785148
9.607843,62,635.232763
7.843137,68,636.820962
8.235294,57,638.112185
8.431373,59,639.519175
8.823529,60,640.875195
9.411765,64,642.3643
8.823529,68,644.196459
6.27451,60,675.873316
7.843137,64,677.046756
8.235294,55,678.109713
6.470589,58,679.497779
8.431373,69,681.136577
6.470589,47,682.218086
9.803922,65,683.79003
9.803922,65,685.447535
8.627451,58,686.821858
7.254902,61,688.216578
8.627451,67,689.700703
8.431373,66,691.235827
9.019608,59,692.560782
8.431373,71,694.135076
8.039216,63,695.59737
6.862745,62,697.089736
5.882353,59,728.1729
9.607843,71,729.407881
9.803922,61,730.571054
8.039216,67,732.005479
7.647059,67,733.423306
8.627451,61,734.835334
7.254902,55,736.095531
8.039216,57,737.39871
8.823529,60,738.819471
7.058824,55,740.233253
8.235294,52,741.397556
8.823529,61,742.773265
5.686275,53,744.041277
9.803922,61,745.489657
9.019608,58,746.788552
4.901961,45,747.83241
7.843137,65,749.329096
8.627451,64,780.423903
5.294118,44,781.20206
7.843137,60,782.219324
8.431373,60,783.440161
8.823529,68,784.953715
9.411765,69,786.507795
9.411765,60,787.987476
9.215687,63,789.409591
8.039216,56,790.667231
8.627451,57,792.012989
9.607843,69,793.588602
9.803922,65,795.057315
9.803922,68,796.661838
5.294118,48,797.744444
7.058824,59,799.068516
8.431373,64,800.601512
8.039216,66,802.085315
7.647059,58,833.111105
4.313725,41,833.828401
7.450981,57,834.863336
6.862745,53,835.88842
8.235294,64,837.095041
7.450981,56,838.204314
6.862745,50,839.221264
8.431373,58,840.565814
7.450981,54,841.799582
8.039216,54,843.052659
9.215687,70,844.645242
8.823529,56,845.904598
8.235294,67,847.460505
8.627451,68,848.981615
7.450981,64,850.39503
8.039216,51,851.571949
7.647059,55,852.807657
7.058824,62,883.732259
8.823529,58,884.720466
7.843137,62,885.834777
8.431373,67,887.270101
8.627451,60,888.569601
8.627451,68,890.04688
6.27451,54,891.23659
8.627451,57,892.547759
9.803922,67,894.05369
6.862745,61,895.405017
7.843137,64,896.856709
4.901961,43,897.82852
