#{"t_start": 1695760609.580446, "env_id": null}
r,l,t
7.058824,63,833.400783
8.235294,55,834.380152
6.862745,55,835.413895
8.039216,55,836.478691
4.313725,42,837.269025
8.039216,66,838.589919
3.137255,36,839.410781
9.215687,74,841.090733
6.666667,54,842.341107
6.666667,51,843.527319
8.235294,57,844.814127
7.843137,56,846.124931
8.235294,56,847.387973
9.019608,69,848.921813
8.627451,57,850.17237
8.235294,61,851.578899
8.235294,58,852.900899
7.450981,62,883.750971
9.215687,69,884.92497
8.431373,66,886.205212
7.254902,57,887.421027
8.823529,68,888.912516
7.647059,57,890.154292
9.019608,60,891.485008
8.039216,61,892.891002
8.823529,61,894.244867
7.254902,56,895.562419
8.823529,70,897.084129
9.607843,61,898.460599
7.647059,53,899.680754
6.27451,53,900.894576
5.490196,56,902.19667
6.27451,46,903.267234
7.254902,57,934.316987
8.431373,63,935.44258
6.470589,52,936.368212
5.686275,55,937.336254
8.235294,65,938.570025
9.019608,57,939.696899
7.843137,54,940.767467
7.647059,62,942.203005
8.039216,60,943.567054
7.450981,63,945.020144
9.215687,62,946.471221
8.823529,63,948.009219
8.039216,59,949.320954
9.411765,69,950.867226
8.627451,68,952.418631
7.450981,52,953.580825
8.823529,60,954.966146
9.607843,64,985.928284
9.019608,70,987.100725
7.843137,59,988.12593
7.058824,53,989.116885
8.431373,61,990.27606
7.450981,55,991.337637
6.27451,48,992.32023
9.215687,59,993.671845
7.647059,63,995.161504
8.235294,53,996.390604
8.039216,62,997.802711
7.254902,56,999.181589
5.882353,53,1000.373903
7.450981,64,1001.902553
6.862745,54,1003.100059
5.09804,47,1004.127981
8.823529,69,1005.690803
8.823529,59,1036.70751
9.215687,65,1037.820082
7.843137,67,1038.985095
8.039216,64,1040.361969
8.627451,59,1041.628658
7.843137,50,1042.722643
9.215687,69,1044.241267
8.823529,59,1045.546211
8.431373,58,1046.889472
9.607843,61,1048.214213
8.235294,60,1049.5472
7.647059,53,1050.726234
9.215687,60,1052.095022
9.803922,65,1053.525933
6.862745,51,1054.657413
8.627451,62,1056.199401
6.666667,54,1057.408216
6.666667,48,1088.097642
7.647059,62,1089.122378
8.039216,62,1090.220173
9.803922,60,1091.315005
7.450981,56,1092.377461
8.039216,61,1093.539779
9.411765,61,1094.835878
6.666667,61,1096.235949
9.803922,61,1097.634348
7.254902,52,1098.830215
9.411765,62,1100.22331
9.803922,65,1101.714008
9.019608,69,1103.256843
7.450981,56,1104.538666
7.843137,65,1105.991595
6.666667,51,1107.125566
9.411765,69,1108.71002
7.450981,59,1139.48507
8.627451,56,1140.481618
8.627451,63,1141.608724
6.666667,57,1142.674123
8.235294,68,1144.006963
7.254902,56,1145.280905
6.470589,57,1146.542611
8.235294,67,1148.062646
7.843137,60,1149.406769
9.019608,61,1150.830033
6.862745,51,1151.998993
7.843137,55,1153.226201
9.019608,56,1154.473346
8.235294,58,1155.768193
8.235294,57,1157.057736
8.039216,58,1158.400589
7.647059,59,1159.720921
8.627451,59,1190.632451
8.823529,67,1191.784711
8.627451,58,1192.809325
9.803922,65,1194.018642
9.803922,65,1195.266274
4.901961,49,1196.242845
8.235294,69,1197.822619
7.254902,61,1199.230273
4.705883,50,1200.376499
8.627451,68,1201.947109
8.627451,62,1203.47204
7.254902,54,1204.697195
7.647059,51,1205.802922
5.490196,45,1206.832109
8.039216,54,1208.001777
8.431373,66,1209.549898
9.803922,66,1211.052563
6.666667,49,1241.675559
4.705883,46,1242.472668
8.431373,65,1243.620853
6.666667,57,1244.65946
9.019608,68,1245.971625
8.823529,60,1247.218898
9.019608,63,1248.660782
7.450981,61,1250.068696
9.803922,63,1251.525741
5.09804,44,1252.542889
6.27451,48,1253.638345
8.039216,59,1255.038969
8.823529,60,1256.427067
9.411765,65,1257.863305
8.823529,70,1259.410776
9.019608,70,1260.978973
7.647059,52,1262.207353
8.431373,55,1292.891291
7.843137,70,1294.108759
8.823529,68,1295.508332
5.686275,48,1296.587849
7.450981,53,1297.732613
7.843137,65,1299.168104
7.450981,60,1300.554326
8.431373,66,1302.061063
7.450981,63,1303.480806
9.019608,71,1305.119298
6.078432,58,1306.405922
7.647059,66,1307.927056
9.411765,70,1309.482523
8.627451,62,1310.925802
8.823529,66,1312.393417
8.431373,55,1313.607147
8.431373,59,1344.560296
9.411765,68,1345.731052
9.803922,66,1347.038387
8.823529,56,1348.260291
6.078432,48,1349.302177
8.431373,55,1350.500689
5.294118,49,1351.604299
7.450981,61,1352.948249
8.627451,63,1354.380684
8.039216,64,1355.963966
7.058824,60,1357.299214
9.803922,65,1358.73297
7.450981,51,1359.893057
8.431373,58,1361.250648
9.019608,63,1362.731656
7.254902,62,1364.13442
8.039216,65,1395.322606
9.803922,64,1396.450179
9.215687,70,1397.667938
6.470589,51,1398.734257
9.607843,63,1400.077626
7.254902,57,1401.345508
8.627451,60,1402.66929
5.882353,48,1403.736546
7.450981,58,1405.106275
5.294118,47,1406.185273
9.215687,64,1407.576963
6.078432,51,1408.712482
7.647059,53,1409.911939
9.215687,59,1411.282917
9.607843,60,1412.646485
7.058824,57,1414.002234
3.72549,38,1414.819526
8.627451,57,1416.144072
9.411765,70,1447.361784
9.215687,68,1448.530182
9.215687,70,1449.870525
8.039216,63,1451.274337
7.254902,60,1452.58171
6.862745,56,1453.830195
9.411765,64,1455.250872
9.803922,65,1456.711768
9.411765,61,1458.118386
9.019608,68,1459.630361
8.627451,63,1461.041444
8.431373,68,1462.660242
8.235294,66,1464.142189
9.019608,58,1465.441611
8.823529,59,1466.749257
7.647059,65,1468.294409
7.450981,57,1499.276309
9.803922,65,1500.400175
8.627451,65,1501.722479
9.019608,69,1503.26508
7.647059,59,1504.57535
7.254902,59,1505.879951
7.647059,52,1507.044101
9.411765,61,1508.405819
9.411765,59,1509.780593
8.235294,61,1511.193995
8.235294,54,1512.422853
6.27451,49,1513.554967
9.803922,62,1514.946592
7.647059,53,1516.179013
9.019608,58,1517.444067
8.039216,57,1518.702372
7.647059,54,1519.926684
9.215687,70,1551.0959
7.254902,55,1552.031315
9.215687,60,1553.108785
6.078432,51,1554.0447
8.627451,56,1555.13637
7.058824,60,1556.499347
5.294118,48,1557.568852
9.019608,69,1559.097273
5.686275,50,1560.207705
7.254902,55,1561.504121
9.019608,57,1562.962634
9.215687,68,1564.50532
7.843137,53,1565.681871
7.254902,62,1567.076494
8.431373,66,1568.577341
6.666667,51,1569.724275
6.078432,59,1571.087433
7.450981,49,1601.886936
9.411765,63,1603.004735
6.078432,49,1603.891386
7.058824,50,1604.771658
6.862745,56,1605.79625
9.411765,71,1607.146089
9.607843,69,1608.536554
6.078432,58,1609.880698
7.647059,62,1611.31957
6.862745,60,1612.693431
9.803922,66,1614.217404
8.823529,60,1615.687339
8.627451,67,1617.274091
6.470589,61,1618.607626
8.039216,59,1619.930831
7.254902,60,1621.29426
7.450981,58,1622.656401
6.27451,59,1653.364491
7.647059,55,1654.356766
6.862745,60,1655.484101
7.647059,52,1656.476711
9.215687,59,1657.599198
8.431373,66,1658.894572
7.058824,56,1660.101637
8.627451,70,1661.768198
6.27451,61,1663.204976
9.607843,70,1664.81011
8.235294,66,1666.37954
7.450981,62,1667.782113
8.039216,55,1669.070183
9.215687,69,1670.591765
9.607843,70,1672.1233
8.039216,56,1673.441946
9.411765,60,1704.269346
7.843137,62,1705.357681
8.627451,58,1706.377918
6.666667,56,1707.417686
7.058824,62,1708.787408
8.039216,59,1710.115832
9.803922,64,1711.576551
5.294118,49,1712.67894
6.27451,48,1713.822846
8.235294,55,1715.081832
9.215687,64,1716.536224
7.450981,48,1717.672059
8.039216,51,1718.82727
8.039216,55,1720.046596
8.431373,60,1721.452637
8.235294,55,1722.642144
4.901961,47,1723.715913
8.431373,57,1725.004397
9.215687,65,1756.024612
5.882353,47,1756.853006
7.450981,60,1757.966878
7.647059,54,1759.137273
9.803922,64,1760.536448
8.235294,65,1762.066261
8.431373,61,1763.39422
8.823529,68,1764.912728
9.019608,60,1766.355924
7.843137,54,1767.521974
8.235294,51,1768.65053
7.058824,50,1769.717315
7.058824,58,1771.020991
9.019608,60,1772.390637
7.058824,60,1773.758231
8.431373,59,1775.148518
8.039216,58,1776.490306
8.235294,65,1807.46046
8.823529,67,1808.585931
6.862745,53,1809.5419
8.627451,60,1810.633371
8.627451,62,1811.82222
8.431373,57,1813.001097
9.803922,65,1814.410825
9.411765,69,1816.008491
4.901961,37,1816.866107
8.039216,55,1818.14577
8.039216,60,1819.558467
6.27451,59,1820.944434
9.803922,66,1822.439865
9.803922,61,1823.834121
8.431373,57,1825.214296
8.431373,56,1826.531807
7.647059,52,1827.804666
8.823529,62,1858.616211
7.254902,52,1859.517969
8.431373,55,1860.501013
7.450981,60,1861.671951
8.627451,59,1862.934525
6.470589,51,1864.082408
7.647059,63,1865.492969
9.803922,65,1866.957571
7.843137,59,1868.304394
9.803922,65,1869.803169
7.843137,57,1871.118739
5.882353,51,1872.304498
8.627451,61,1873.702168
6.27451,53,1875.007063
7.058824,55,1876.226755
5.882353,47,1877.261831
7.058824,53,1878.444344
8.823529,59,1909.389191
9.411765,69,1910.620572
9.411765,69,1911.801837
8.039216,54,1912.936964
8.627451,57,1914.1732
8.823529,56,1915.432568
9.019608,68,1916.912846
9.215687,66,1918.391111
9.215687,60,1919.771949
8.431373,69,1921.357321
8.039216,64,1922.802694
6.27451,52,1923.991809
9.411765,70,1925.609993
7.254902,57,1926.950096
8.039216,66,1928.432616
7.843137,53,1929.63578
9.411765,70,1960.762108
8.627451,68,1962.007183
8.039216,56,1963.022068
7.647059,58,1964.058112
9.215687,67,1965.333169
9.607843,63,1966.604134
9.803922,65,1968.078332
7.450981,55,1969.319885
8.431373,55,1970.579452
6.666667,45,1971.607129
7.843137,66,1973.140941
7.843137,56,1974.547954
8.431373,65,1976.032063
9.607843,68,1977.58726
8.039216,55,1978.840682
7.058824,57,1980.14863
6.470589,59,1981.451809
7.843137,56,2012.210868
8.823529,56,2013.208807
