#{"t_start": 1695760609.583957, "env_id": null}
r,l,t
7.843137,58,2.914914
6.862745,62,4.103084
8.039216,56,5.31821
6.666667,59,6.597149
6.27451,48,7.673968
8.823529,65,9.171097
7.254902,56,10.416283
7.254902,54,11.645443
9.019608,67,13.200716
6.470589,48,14.276655
7.058824,57,15.517887
9.803922,66,16.977988
5.294118,48,18.104337
8.235294,65,19.570718
6.27451,58,20.853877
8.431373,66,22.325158
9.607843,70,54.060081
7.058824,55,55.021558
9.803922,65,56.155835
7.843137,57,57.190893
9.607843,68,58.479344
8.039216,55,59.563414
9.411765,70,60.974118
9.607843,61,62.417959
9.215687,63,63.94341
7.058824,54,65.217788
7.647059,59,66.631374
8.039216,56,67.892374
8.431373,66,69.354191
9.411765,60,70.776555
8.039216,65,72.248939
9.803922,65,73.851578
9.019608,68,75.327695
8.627451,58,106.226374
8.235294,56,107.192075
7.843137,56,108.228272
5.882353,50,109.176319
8.235294,58,110.288422
9.803922,61,111.648747
9.019608,69,113.23881
7.058824,55,114.650663
8.823529,62,116.101967
8.627451,58,117.492329
6.27451,60,118.883447
7.254902,47,119.953213
5.882353,57,121.220469
9.411765,65,122.685882
9.215687,69,124.263657
7.058824,53,125.506866
9.215687,59,126.826567
8.431373,59,157.606368
8.823529,68,158.796594
9.019608,70,160.077167
8.431373,56,161.179291
8.039216,60,162.400304
7.647059,52,163.605343
8.823529,66,165.116841
7.254902,57,166.455432
8.039216,68,168.042513
6.862745,57,169.34591
9.215687,68,170.8972
9.215687,69,172.438817
8.823529,68,173.963506
8.431373,66,175.444491
8.039216,63,176.858717
7.254902,55,178.153056
7.058824,61,209.273083
9.019608,61,210.302115
7.058824,56,211.367357
9.019608,67,212.597357
7.254902,57,213.873359
7.647059,53,215.106978
9.215687,69,216.693497
5.294118,43,217.690904
9.607843,61,219.120432
7.647059,64,220.580723
8.431373,68,222.1753
5.490196,45,223.188984
8.431373,66,224.688455
4.901961,45,225.690403
8.431373,66,227.205406
6.078432,56,228.451447
7.843137,62,229.813555
8.235294,64,260.737306
8.431373,56,261.784966
7.647059,64,263.140322
9.019608,58,264.402286
9.803922,67,265.844532
6.470589,60,267.145999
8.235294,66,268.624399
6.666667,59,269.940424
9.607843,64,271.442496
8.823529,68,273.02681
8.627451,62,274.470749
8.823529,61,275.951235
7.450981,57,277.275247
8.039216,59,278.759555
9.019608,58,280.137503
8.823529,66,281.66923
7.058824,61,313.273979
6.078432,54,314.308625
9.803922,66,315.638688
6.862745,61,316.878936
8.627451,64,318.25368
8.823529,61,319.572872
6.666667,56,320.980939
7.647059,66,322.603675
8.431373,63,324.218801
9.019608,67,325.813765
6.27451,56,327.062336
9.411765,61,328.400597
8.431373,58,329.726672
7.450981,54,330.995663
8.431373,60,332.363595
6.470589,60,333.727995
9.803922,65,365.543319
7.647059,53,366.445735
9.215687,60,367.507538
8.431373,67,368.718761
7.058824,50,369.67298
6.666667,57,370.79155
9.411765,64,372.067094
8.627451,68,373.571948
8.627451,62,375.009063
7.254902,63,376.502555
5.294118,55,377.883586
6.470589,48,378.95455
